Ano;Mês;Município;Município do Porto de Saída;Aparelho de Pesca;Nível Taxonômico;Pescado;Tipo de Pesca;kg no Período;nº de descargas do período;nº de Unidades Produtivas;valor estimado no período
2016;10;Antonina;Antonina;arrasto-simples;Peixe Ósseo;Bagre-amarelo;Artesanal;2.00;1;1; 6.00
2016;10;Antonina;Antonina;arrasto-simples;Peixe Ósseo;Pescada-amarela;Artesanal;1.50;1;1; 28.28
2016;10;Antonina;Antonina;emalhe-de-batida;Peixe Ósseo;Bagre-amarelo;Artesanal;21.00;2;1; 63.00
2016;10;Antonina;Antonina;emalhe-de-batida;Peixe Ósseo;Parati;Artesanal;3.00;1;1; 15.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Bagre-amarelo;Artesanal;70.00;8;4; 210.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Bagre-branco;Artesanal;1.00;1;1; 7.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Corvina;Artesanal;1.00;1;1; 9.24
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Parati;Artesanal;35.00;1;1; 175.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Pescada-amarela;Artesanal;5.00;2;1; 94.25
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Robalo-flecha;Artesanal;4.00;1;1; 82.08
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Robalo-peva;Artesanal;55.00;9;4; 1100.00
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Saguá;Artesanal;15.00;1;1; 111.90
2016;10;Antonina;Antonina;emalhe-de-fundo;Peixe Ósseo;Tainha;Artesanal;22.00;6;3; 240.46
2016;10;Antonina;Antonina;emalhe-de-superfície;Peixe Ósseo;Parati;Artesanal;15.00;1;1; 75.00
2016;10;Antonina;Antonina;emalhe-de-superfície;Peixe Ósseo;Tainha;Artesanal;30.00;1;1; 327.90
2016;10;Antonina;Antonina;emalhes-diversos;Peixe Ósseo;Bagre-amarelo;Artesanal;18.00;4;1; 54.00
2016;10;Antonina;Antonina;emalhes-diversos;Peixe Ósseo;Robalo-peva;Artesanal;9.00;3;1; 180.00
2016;10;Antonina;Antonina;emalhes-diversos;Peixe Ósseo;Tainha;Artesanal;9.00;4;1; 98.37
